appid,categories
1184420,Single-player
1184450,Single-player
1184450,Steam Achievements
1184450,Steam Cloud
1184450,Steam Leaderboards
1184460,Single-player
1184460,Steam Achievements
1184460,Partial Controller Support
1184460,Stats
1184460,Steam Leaderboards
1184470,Single-player
1184480,Single-player
1184480,Multi-player
1184480,PvP
1184480,Shared/Split Screen PvP
1184480,Full controller support
1184480,Remote Play Together
1184530,Single-player
1184530,Multi-player
1184530,PvP
1184530,Shared/Split Screen PvP
1184530,Shared/Split Screen
1184530,Steam Achievements
1184530,Partial Controller Support
1184530,Steam Cloud
1184530,Remote Play on Phone
1184530,Remote Play on Tablet
1184530,Remote Play Together
1184550,Single-player
1184570,Single-player
1184590,Single-player
1184600,Single-player
1184600,Steam Achievements
1184640,Single-player
1184680,Single-player
1184700,Single-player
1184710,Single-player
1184720,Single-player
1184750,Single-player
1184750,Full controller support
1184770,Single-player
1184770,Steam Cloud
1184780,Single-player
1184780,Multi-player
1184780,PvP
1184780,Shared/Split Screen PvP
1184780,Co-op
1184780,Shared/Split Screen Co-op
1184780,Shared/Split Screen
1184780,Steam Achievements
1184780,Full controller support
1184790,Single-player
1184810,Single-player
1184820,Single-player
1184820,Stats
1184840,Single-player
1184840,Steam Achievements
1184840,Steam Trading Cards
1184840,Steam Cloud
1184880,Single-player
1183980,Single-player
1184010,Single-player
1184040,Single-player
1184040,Partial Controller Support
1184070,Single-player
1184070,Steam Achievements
1184070,Steam Cloud
1184070,Stats
1184090,Single-player
1184110,Single-player
1184140,Multi-player
1184140,Cross-Platform Multiplayer
1184140,In-App Purchases
1184140,Partial Controller Support
1184160,Single-player
1184160,Steam Achievements
1184190,Single-player
1184230,Single-player
1184250,Single-player
1184250,Steam Achievements
1184250,Full controller support
1184250,Captions available
1184250,Steam Cloud
1184250,Stats
1184260,Single-player
1184260,Steam Achievements
1184310,Single-player
1184310,Steam Achievements
1184310,Partial Controller Support
1184310,Steam Leaderboards
1184320,Single-player
1184320,Multi-player
1184320,PvP
1184320,Online PvP
1184330,Single-player
1184330,Multi-player
1184330,PvP
1184330,Online PvP
1184330,In-App Purchases
1184360,Single-player
1184360,Steam Achievements
1184400,Single-player
1184400,Steam Achievements
1184400,Steam Cloud
