name,appid,score
天降锦鲤 ~ My Lucky Koi,1184420,0
Magic of Autumn,1184450,0
Race! Make 'm finish...,1184460,0
ASTROPUPPA,1184470,0
Inertial Drift,1184480,89
Aurora - Cores Ocultas,1184530,0
TERMINAL,1184550,0
Last Neighbor,1184570,0
CubeHub,1184590,0
The Sentinel,1184600,0
Hide and Secret: The Lost World,1184640,0
Crocs Hunter,1184680,0
Whispered Secrets: Dreadful Beauty Collector's Edition,1184700,0
Cosmo story,1184710,0
Later,1184720,0
Skeleton vs zombies,1184750,0
The Political Process,1184770,0
BOTS,1184780,0
SCP: Fragmented Minds,1184790,0
Mainframe Defenders,1184810,0
Poker Quest,1184820,0
Chaos Galaxy,1184840,0
Puzzle Girls,1184880,0
Escape from the Lostmoon,1183980,0
Monster's Mall,1184010,0
D1896,1184040,0
Overrun,1184070,0
Belly Dance Girl,1184090,0
刀锋突袭,1184110,0
KartRider: Drift,1184140,0
Crazy Simulator,1184160,0
Knockout Bowling vr,1184190,0
Cross Border VR,1184230,0
Finnish Army Simulator,1184250,0
Warchasm,1184260,0
Slippery Sausage,1184310,0
FIT Food,1184320,0
探险与魔法,1184330,0
Heavy load,1184360,0
魅魔新妻 Succubus Waifu,1184400,0
you are pig sitter,1183410,0
Monochrome World,1183420,0
Prometheus,1179660,0
Wurm Online,1179680,0
UFO穿越 UFO Cross,1179690,0
Metrail,1179750,0
DeedPlanner,1179760,0
Heroes Of Maidan 3,1179790,0
Oppaidius Tropical Cruise!,1179100,0
Chrono's Arena,1179110,0
Romguns,1179150,0
Super Angling,1179170,0
Dinodrifters,1179190,0
Kill It With Fire,1179210,69
Gaijin Troubles,1179220,0
PROJECT D,1179280,0
Quicken WillMaker & Trust 2020,1179300,0
Drift Alone,1179310,0
Kōmori Fruit Rush,1179340,0
怪奇幻想夢物語 怪獣綺譚 誘宵地獄,1179350,0
Victorian Admirals Caroline Crisis 1885,1179390,0
Basic Car Repair Garage VR,1179400,0
Lootcraft,1179410,0
Brunswick Pro Billiards,1179420,0
Laser Z,1179430,0
Disaster Dragon x Girls from Different Worlds,1179440,0
HAM-MASTER,1179460,0
Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,1178790,0
Bright Memory: Infinite,1178830,0
Taro: a fluffy visual novel,1178890,0
Rollers,1179010,0
Red Frost,1179020,0
有翼のフロイライン Wing of Darkness,1179060,0
FAITH,1179080,0
Mannerheim Virtual Experience,1179090,0
MyStar,1175690,0
Gerritory,1175720,0
TopplePOP: Bungee Blockbusters,1175770,0
Command & Control 3,1175800,0
Whateverland,1175840,0
Blank,1174920,0
Empty Sharp,1174970,0
Mazetools Mutant,1174980,0
Sushi Pachi Panic,1174990,0
Plunkocity,1175030,0
Human Simulator,1175060,0
Survived,1175070,0
Easy Bug Manager,1175080,0
单词训练营 | Word Training Camp,1175100,0
STARS ERA:LOST STARS,1175120,0
Vecter,1175140,0
Incredible Dracula: Vargosi Returns,1175150,0
House of 1000 Doors: The Palm of Zoroaster,1175160,0
Incredible Dracula: The Ice Kingdom,1175170,0
妈妈，别走,1175180,0
Natsuki Chronicles,1175190,0
Forbidden Ingress,1175200,0
出门,1175240,0
Finders Reapers,1175250,0
黑暗之岛,1175320,0
Troll Control,1175330,0
Johan: The Archer & The Witch,1175350,0
"I, Dracula: Genesis",1175360,0
Peer Gynt the Game,1175370,0
Ultimate Live Wallpaper,1175390,0
GDT2: After WW3,1174620,0
Arcadia Fallen,1174640,0
Nordic Warriors,1174670,0
Ashland Dossier,1174680,0
Love Wish 2,1174690,0
SwarmZ,1174720,0
MONEY LOVES SILENCE,1174780,0
Curse of the dungeon,1174810,0
Tower Of Heresy,1174820,0
The Magician's Workshop,1174830,0
Путь Пацана,1174850,0
Tacview,1174860,0
Roark Games: Congressman,1174870,0
"No Offence, But",1174890,0
MiMiMiShKa,1174900,0
Space Road,1174120,0
Earthshine,1174170,0
Lands of Pharaoh: Episode 1,1174200,0
Elementals,1174230,0
The Lost Cave of the Ozarks,1174260,0
IKO 39,1174270,0
Cybermonk,1174280,0
Shiki,1174300,0
Travel Mosaics 10: Spooky Halloween,1174320,0
ANNIE:Last Hope,1174390,0
Togainu no Chi ~Lost Blood~,1174400,0
Libertad o Muerte!,1174420,0
Space Shapes,1174430,0
A Zone,1174440,0
The Bad the Worse & Djanky,1174450,0
Poker Club,1174460,0
Space Carrot,1174490,0
Yuletide Legends: Who Framed Santa Claus,1174500,0
Bird Simulator,1174550,0
Приключенията на музикалните тонове и техните ноти,1174560,0
"Build 'm up, Shoot 'm down!",1174570,0
Coloring Game: Pixel,1173830,0
Zombie Panic In Wonderland DX,1173850,0
Endless Knight,1173870,0
Dreams of Ylina,1173910,0
Barrage Musical ~ Basic Danmaku Tutorial ~ / 弹幕音乐绘 ~ 基础教学篇 ~,1173940,0
Debugger 3.16 // Recoded // Despair of the Developer Edition,1173950,0
MetaSpace,1173960,0
Shadow of the Road,1173980,0
Monsters of Kanji 2,1173990,0
Uterine Supremacy,1174050,0
Unicorn Tails,1174090,0
Hentai Girl Beat,1174100,0
Kira's Contract,1173500,0
XSOverlay,1173510,0
Zero Friction,1173540,0
Dominus Galaxia: KS Edition,1173590,0
MouseWars Party,1173610,0
Beat Rush,1173630,0
Survivor Jones,1173640,0
SWEET MILF,1173650,0
Woodle Tree 2: Deluxe+,1173740,0
Infinite Sparkles,1168600,0
Natural Instincts,1168610,0
Active Neurons,1168630,0
Angry Bunny,1168650,0
Barro 2020,1168660,0
HELLSEED,1168690,0
Old School Horror Game : Bright Day,1168740,0
Ground War,1168790,0
Mulite Sword Man,1168800,0
Myths of the World: The Heart of Desolation Collector's Edition,1168820,0
Mystery Case Files: Ravenhearst Unlocked Collector's Edition,1168830,0
绿洲计划,1168840,0
Trix and the Horny Tower,1168850,0
Mists of Noyah,1168870,0
MOLEK-SYNTEZ,1168880,0
Crystal core,1168940,0
BUBBERKNUCKLES,1168210,0
Shades Of Heroes,1168250,0
TD Strategy of Three kingdoms/塔防三国,1168290,0
Zombie valley,1168320,0
Detective Solitaire Inspector Magic,1168360,0
Sokpop S05: passenger seat,1168420,0
Dairy Princess,1168430,0
千面 Melancholy Love,1168470,0
Rauniot,1168490,0
Sokpop S04: clutchball,1167710,0
A Time Paradox,1167730,0
4islands,1167760,0
More dark,1167770,0
絶望プリズン,1167790,0
Exphelius: Arena,1167800,0
Airport Contraband,1167820,0
Sokpop S04: Penguin Park 3D,1167850,0
Friday 星期五部门,1167900,0
Shooty Mine,1167930,0
Aesop’s Fables - A New Approach,1167940,0
Vampire's Fall: Origins,1167950,0
