appid,genres
1184420,Adventure
1184420,Casual
1184420,Indie
1184420,RPG
1184450,Adventure
1184450,Indie
1184450,RPG
1184460,Action
1184460,Casual
1184460,Indie
1184460,Racing
1184460,Early Access
1184470,Action
1184470,Casual
1184470,Indie
1184480,Indie
1184480,Racing
1184530,Adventure
1184530,Casual
1184530,Indie
1184530,RPG
1184530,Strategy
1184530,Early Access
1184550,Action
1184550,Indie
1184550,Early Access
1184570,Action
1184570,Casual
1184570,Indie
1184590,Action
1184590,Casual
1184590,Indie
1184600,Action
1184600,Adventure
1184600,Indie
1184640,Adventure
1184640,Casual
1184640,Indie
1184680,Adventure
1184680,Casual
1184680,Indie
1184700,Adventure
1184700,Casual
1184710,Action
1184710,Adventure
1184710,Casual
1184710,Indie
1184720,Adventure
1184720,Indie
1184750,Action
1184750,Adventure
1184750,Casual
1184750,Indie
1184770,Indie
1184770,Simulation
1184770,Strategy
1184770,Early Access
1184780,Action
1184780,Casual
1184780,Indie
1184790,Action
1184790,Indie
1184810,Strategy
1184820,Adventure
1184820,Indie
1184820,RPG
1184820,Strategy
1184820,Early Access
1184840,Indie
1184840,Strategy
1184880,Casual
1183980,Action
1183980,Adventure
1183980,Indie
1184010,Casual
1184010,Indie
1184010,Simulation
1184010,Early Access
1184040,Action
1184040,Adventure
1184040,Indie
1184070,Action
1184070,Casual
1184070,Indie
1184090,Action
1184090,Casual
1184090,Indie
1184090,Simulation
1184090,Early Access
1184110,Casual
1184140,Free to Play
1184140,Racing
1184160,Action
1184160,Adventure
1184160,Casual
1184160,Indie
1184160,RPG
1184160,Simulation
1184160,Strategy
1184190,Casual
1184190,Indie
1184190,Sports
1184230,Adventure
1184230,Indie
1184230,RPG
1184230,Simulation
1184250,Action
1184250,Adventure
1184250,Casual
1184250,Indie
1184250,RPG
1184250,Simulation
1184250,Sports
1184260,Action
1184260,Casual
1184260,Indie
1184310,Action
1184310,Casual
1184310,Indie
1184320,Casual
1184320,Free to Play
1184330,Adventure
1184330,Casual
