name,appid,categories,genres,metacritic
天降锦鲤 ~ My Lucky Koi,1184420,['Single-player'],"['Adventure', 'Casual', 'Indie', 'RPG']",'metacritic'
Magic of Autumn,1184450,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards']","['Adventure', 'Indie', 'RPG']",'metacritic'
Race! Make 'm finish...,1184460,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Stats', 'Steam Leaderboards']","['Action', 'Casual', 'Indie', 'Racing', 'Early Access']",'metacritic'
ASTROPUPPA,1184470,['Single-player'],"['Action', 'Casual', 'Indie']",'metacritic'
Inertial Drift,1184480,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Full controller support', 'Remote Play Together']","['Indie', 'Racing']","{'score': 89, 'url': 'https://www.metacritic.com/game/pc/inertial-drift?ftag=MCD-06-10aaa1f'}"
Aurora - Cores Ocultas,1184530,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together']","['Adventure', 'Casual', 'Indie', 'RPG', 'Strategy', 'Early Access']",'metacritic'
TERMINAL,1184550,['Single-player'],"['Action', 'Indie', 'Early Access']",'metacritic'
Last Neighbor,1184570,['Single-player'],"['Action', 'Casual', 'Indie']",'metacritic'
CubeHub,1184590,['Single-player'],"['Action', 'Casual', 'Indie']",'metacritic'
The Sentinel,1184600,"['Single-player', 'Steam Achievements']","['Action', 'Adventure', 'Indie']",'metacritic'
Hide and Secret: The Lost World,1184640,['Single-player'],"['Adventure', 'Casual', 'Indie']",'metacritic'
Crocs Hunter,1184680,['Single-player'],"['Adventure', 'Casual', 'Indie']",'metacritic'
Whispered Secrets: Dreadful Beauty Collector's Edition,1184700,['Single-player'],"['Adventure', 'Casual']",'metacritic'
Cosmo story,1184710,['Single-player'],"['Action', 'Adventure', 'Casual', 'Indie']",'metacritic'
Later,1184720,['Single-player'],"['Adventure', 'Indie']",'metacritic'
Skeleton vs zombies,1184750,"['Single-player', 'Full controller support']","['Action', 'Adventure', 'Casual', 'Indie']",'metacritic'
The Political Process,1184770,"['Single-player', 'Steam Cloud']","['Indie', 'Simulation', 'Strategy', 'Early Access']",'metacritic'
BOTS,1184780,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support']","['Action', 'Casual', 'Indie']",'metacritic'
SCP: Fragmented Minds,1184790,['Single-player'],"['Action', 'Indie']",'metacritic'
Mainframe Defenders,1184810,['Single-player'],['Strategy'],'metacritic'
Poker Quest,1184820,"['Single-player', 'Stats']","['Adventure', 'Indie', 'RPG', 'Strategy', 'Early Access']",'metacritic'
Chaos Galaxy,1184840,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","['Indie', 'Strategy']",'metacritic'
Puzzle Girls,1184880,['Single-player'],['Casual'],'metacritic'
Escape from the Lostmoon,1183980,['Single-player'],"['Action', 'Adventure', 'Indie']",'metacritic'
Monster's Mall,1184010,['Single-player'],"['Casual', 'Indie', 'Simulation', 'Early Access']",'metacritic'
D1896,1184040,"['Single-player', 'Partial Controller Support']","['Action', 'Adventure', 'Indie']",'metacritic'
Overrun,1184070,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Stats']","['Action', 'Casual', 'Indie']",'metacritic'
Belly Dance Girl,1184090,['Single-player'],"['Action', 'Casual', 'Indie', 'Simulation', 'Early Access']",'metacritic'
刀锋突袭,1184110,['Single-player'],['Casual'],'metacritic'
KartRider: Drift,1184140,"['Multi-player', 'Cross-Platform Multiplayer', 'In-App Purchases', 'Partial Controller Support']","['Free to Play', 'Racing']",'metacritic'
Crazy Simulator,1184160,"['Single-player', 'Steam Achievements']","['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Strategy']",'metacritic'
Knockout Bowling vr,1184190,['Single-player'],"['Casual', 'Indie', 'Sports']",'metacritic'
Cross Border VR,1184230,['Single-player'],"['Adventure', 'Indie', 'RPG', 'Simulation']",'metacritic'
Finnish Army Simulator,1184250,"['Single-player', 'Steam Achievements', 'Full controller support', 'Captions available', 'Steam Cloud', 'Stats']","['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Sports']",'metacritic'
Warchasm,1184260,"['Single-player', 'Steam Achievements']","['Action', 'Casual', 'Indie']",'metacritic'
Slippery Sausage,1184310,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Leaderboards']","['Action', 'Casual', 'Indie']",'metacritic'
FIT Food,1184320,"['Single-player', 'Multi-player', 'PvP', 'Online PvP']","['Casual', 'Free to Play']",'metacritic'
探险与魔法,1184330,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'In-App Purchases']","['Adventure', 'Casual', 'Free to Play', 'Indie', 'RPG', 'Strategy']",'metacritic'
Heavy load,1184360,"['Single-player', 'Steam Achievements']","['Action', 'Indie']",'metacritic'
魅魔新妻 Succubus Waifu,1184400,"['Single-player', 'Steam Achievements', 'Steam Cloud']",['Indie'],'metacritic'
